City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,egilsstadir,65.2653,-14.3948,-2.05,69,75,4.12,IS,1701997233
1,chernyshevskiy,63.0128,112.4714,-37.09,100,98,0.67,RU,1701997235
2,bredasdorp,-34.5322,20.0403,17.43,79,0,3.34,ZA,1701997236
3,grytviken,-54.2811,-36.5092,-0.78,94,100,7.2,GS,1701997238
4,port mathurin,-19.6833,63.4167,25.95,74,0,3.05,MU,1701997241
5,perryville,37.7242,-89.8612,11.62,54,0,6.69,US,1701997223
6,colonia,50.9333,6.95,3.82,74,0,5.66,DE,1701997244
7,rio grande,-32.035,-52.0986,19.06,76,38,8.28,BR,1701997082
8,yellowknife,62.456,-114.3525,-10.71,92,100,2.57,CA,1701996960
9,bilibino,68.0546,166.4372,-36.96,99,65,1.15,RU,1701997172
10,chinchilla,-26.75,150.6333,32.45,27,0,6.59,AU,1701997250
11,albany,42.6001,-73.9662,-1.32,88,66,0.18,US,1701997055
12,iqaluit,63.7506,-68.5145,-11.15,79,75,4.63,CA,1701997251
13,pahrump,36.2083,-115.9839,13.86,44,6,1.34,US,1701997086
14,vanino,49.0869,140.2543,-5.6,71,100,4.53,RU,1701997253
15,flin flon,54.7682,-101.865,-3.09,93,100,1.03,CA,1701997254
16,ust-nera,64.5667,143.2,-28.58,90,100,1.57,RU,1701997254
17,edinburgh of the seven seas,-37.0676,-12.3116,14.95,85,100,6.16,SH,1701997255
18,anta,25.15,76.3,16.62,73,0,0.98,IN,1701997256
19,hawaiian paradise park,19.5933,-154.9731,27.24,76,0,0.89,US,1701997257
20,fale old settlement,-9.3852,-171.2468,28.69,74,100,3.65,TK,1701997257
21,puerto natales,-51.7236,-72.4875,10.06,91,88,1.22,CL,1701997258
22,adamstown,-25.066,-130.1015,23.17,75,100,4.78,PN,1701997259
23,avarua,-21.2078,-159.775,27.03,61,75,6.17,CK,1701997260
24,port-aux-francais,-49.35,70.2167,4.63,98,100,15.56,TF,1701997261
25,olonkinbyen,70.9221,-8.7187,-2.93,76,83,5.68,SJ,1701997262
26,la passe,45.5549,-0.8967,12.13,91,100,4.48,FR,1701997263
27,freetown,8.484,-13.2299,26.26,82,0,3.36,SL,1701997264
28,polyarnyy,69.1989,33.4478,-14.69,96,88,7.01,RU,1701997267
29,alice springs,-23.7,133.8833,35.75,21,0,4.63,AU,1701997268
30,aykhal,66.0,111.5,-27.86,100,100,2.15,RU,1701997269
31,ilulissat,69.2167,-51.1,-2.99,59,100,0.0,GL,1701997270
32,tralee,52.2704,-9.7026,9.53,84,100,7.97,IE,1701997170
33,blackmans bay,-43.0167,147.3167,23.62,48,100,0.45,AU,1701997272
34,newman,37.3138,-121.0208,16.13,59,100,1.79,US,1701997145
35,as sulayyil,20.4607,45.5779,16.14,36,33,2.48,SA,1701997274
36,acoyapa,11.9703,-85.1711,24.4,84,0,4.62,NI,1701997275
37,aasiaat,68.7098,-52.8699,-11.6,86,100,0.62,GL,1701997276
38,khandyga,62.6667,135.6,-28.65,95,100,2.1,RU,1701997277
39,evergreen,39.6333,-105.3172,8.84,29,0,3.58,US,1701997278
40,sinop,41.7711,34.8709,8.88,79,100,3.74,TR,1701997279
41,bangassou,4.7413,22.8184,20.13,89,100,0.31,CF,1701997280
42,waitangi,-43.9535,-176.5597,13.79,73,91,8.45,NZ,1701997282
43,bethel,41.3712,-73.414,1.53,84,37,1.98,US,1701997274
44,westport,41.1415,-73.3579,2.99,84,23,0.89,US,1701997149
45,kurumkan,54.3,110.3,-22.15,93,30,1.79,RU,1701997285
46,lompoc,34.6391,-120.4579,16.4,69,0,11.83,US,1701997150
47,lebu,-37.6167,-73.65,12.25,87,1,6.57,CL,1701997287
48,kone,-21.0595,164.8658,29.36,49,100,3.64,NC,1701997289
49,ushuaia,-54.8,-68.3,8.81,70,0,8.75,AR,1701997124
50,port lincoln,-34.7333,135.8667,22.71,58,99,4.3,AU,1701997291
